state,district,pincode,latitude,longitude,address,total_Inj,status
Andhra Pradesh,West Godavari,,16.45710189,81.74537953,"Bada Mahalla, Powerpet, Eluru, West Godavari, Andhra Pradesh, 534001, India",,
Andhra Pradesh,Ibrahimpatnam,,18.87628962,77.52968231,"Jupudi, Ibrahimpatnam, NTR, Andhra Pradesh, 521456, India",,2
Andhra Pradesh,Visakhapatnam,,16.62888549,79.91542263,"NH516E, Kondamaguda, Karakavalasa, Ananthagiri, Visakhapatnam, Andhra Pradesh, 531150, India",1,2
Andhra Pradesh,,,14.99026152,77.46027048,"NH167BG, Brahmeswaram, Andhra Pradesh, 524222, India",3,
Andhra Pradesh,Vizianagaram,,16.06658758,79.0451418,"NH26, Vizianagaram, Rimapeta, Vizianagaram, Andhra Pradesh, 535001, India",0,2
Andhra Pradesh,Khammam,507159,17.20091062,80.04021189,,0,2
Andhra Pradesh,Prakasam,,14.30727611,79.4112165,"Ongole - Nandyal Road, Cumbum, Prakasam, Andhra Pradesh, 523246, India",0,2
Andhra Pradesh,,,16.87601064,80.26763221,"Palakonda - Hadobhangi Road, Panukuvalasa, Seethampeta, Kothuru, Seethampeta, Parvathipuram Manyam, Andhra Pradesh, 532443, India",1,2
Andhra Pradesh,Sri Sathya Sai,,16.77186936,82.28453861,"Chilamatturu Lepakshi Hindupur Road, Lepakshi, Sri Sathya Sai, Andhra Pradesh, 515331, India",1,
Andhra Pradesh,,,16.54625471,77.8401315,"Tiruvuru - Rajavaram Road, Penugolanu, Gampalagudem, Krishna, Andhra Pradesh, India",1,2
Andhra Pradesh,,,16.11694806,82.03344847,"Vemulapadu, Yadiki, Ananthapuramu, Andhra Pradesh, 515408, India",1,
Andhra Pradesh,,,16.98054313,79.13237855,"NH16, Kesarapalle, Chinna Avutapalli, Gannavaram, Krishna, Andhra Pradesh, 521286, India",0,
Andhra Pradesh,,,17.14037379,79.01402311,"NH216, Kottapalleboinavaripalem, Chirala, Bapatla, Andhra Pradesh, 523166, India",0,2
Andhra Pradesh,,,17.5438599,79.04006367,"Pyna - Kakinada Road, Domada, Pedapudi, Kakinada, Andhra Pradesh, 533006, India",0,2
Andhra Pradesh,,,16.57717497,79.56392527,"Nandyala - Mahanandi Road, Srinagaram, Andhra Pradesh, 518673, India",1,2
Andhra Pradesh,West Godavari,,14.58146735,83.64910377,"Varighedu, Attili, West Godavari, Andhra Pradesh, 543156, India",1,2
Andhra Pradesh,,,17.27930899,81.3156847,"NH216, Pedda Chollangi, Thallarevu, Kakinada, Andhra Pradesh, 533016, India",0,2
Andhra Pradesh,,,16.61379622,77.04832604,"Chaitanya Nagar, Turakalapalem, Gajuwaka, Visakhapatnam, Andhra Pradesh, 530026, India",0,2
Andhra Pradesh,,,17.27546812,79.23935098,"Grand National Trunk Road (GNT Road), Eluru, West Godavari, Andhra Pradesh, 534001, India",,2
Andhra Pradesh,,,14.77491604,77.95192058,"NH216, Jagganapeta, Mamidikuduru, East Godavari, Andhra Pradesh, 533249, India",0,2
Andhra Pradesh,,,17.0285842,79.89605805,"Tentidigam, Mandasa, Srikakulam, Andhra Pradesh, 532242, India",1,1
Andhra Pradesh,,,17.0136953,82.41796782,"Nadimpalle, Ratlagunta, Gangavaram, Chittoor, Andhra Pradesh, 517408, India",0,
Andhra Pradesh,,,15.1912685,78.77703551,"Temple, NH65, Vijayawada, Vijayawada (Urban), NTR, Andhra Pradesh, 520001, India",10,
Andhra Pradesh,Krishna,,17.09152097,77.2304073,"Vijayawada, Vijayawada (Urban), Krishna, Andhra Pradesh, 520001, India",2,
Andhra Pradesh,,,17.30764269,77.89116468,"Nandigama - Gudimetla Road, Nandigama, NTR, Andhra Pradesh, 521185, India",0,2
Andhra Pradesh,,,14.14764191,79.47443019,,1,
Andhra Pradesh,,,17.89445854,78.95220379,"Ongole - Nandyal Road, Cumbum, Prakasam, Andhra Pradesh, 523246, India",13,1
Andhra Pradesh,,,16.49783869,79.84635109,"NH65, Munagacherla, Nandigama, NTR, Andhra Pradesh, 522185, India",1,2
Andhra Pradesh,,,16.39030213,79.65138837,"NH16, Gowripatnam, Devarapalle, West Godavari, Andhra Pradesh, 534313, India",,2
Andhra Pradesh,,,17.30008156,79.72494115,,,2
